biol_rep;cultivation_method;damage;cell_amount;timepoint;deltaCt;gene
1;0;1;3.2;0;4.430236;CYP1A1
1;0;1;0.65;0;4.4511255;CYP1A1
1;0;1;0.13;0;4.459292375;CYP1A1
1;0;1;0.026;0;4.71610775;CYP1A1
1;0;0;3.2;0;4.887777625;CYP1A1
1;0;0;0.65;0;4.42609875;CYP1A1
1;0;0;0.13;0;4.358619;CYP1A1
1;0;0;0.026;0;4.61320775;CYP1A1
1;0;0;0.0052;0;4.2940465;CYP1A1
2;0;1;3.2;0;5.805325;CYP1A1
2;0;1;0.65;0;6.49020325;CYP1A1
2;0;1;0.13;0;6.48492475;CYP1A1
2;0;0;3.2;0;6.995468;CYP1A1
2;0;0;0.65;0;7.3346945;CYP1A1
2;0;0;0.13;0;8.444663;CYP1A1
2;0;0;0.026;0;7.695953;CYP1A1
2;0;0;0.0052;0;5.42064225;CYP1A1
1;1;1;3.25;0;10.6541875;CYP1A1
1;1;1;0.65;0;8.55720775;CYP1A1
1;1;0;3.25;0;10.59209225;CYP1A1
1;1;0;0.65;0;7.87962925;CYP1A1
1;0;1;3.2;1;10.168244;CYP1A1
1;0;1;0.65;1;10.04276825;CYP1A1
1;0;1;0.13;1;8.340978375;CYP1A1
1;0;1;0.026;1;7.73090425;CYP1A1
1;0;0;3.2;1;11.46756575;CYP1A1
1;0;0;0.65;1;10.50895125;CYP1A1
1;0;0;0.13;1;9.65858825;CYP1A1
1;0;0;0.026;1;7.94630075;CYP1A1
2;0;1;3.2;1;6.25448425;CYP1A1
2;0;1;0.65;1;6.10001425;CYP1A1
2;0;1;0.13;1;5.8603595;CYP1A1
2;0;1;0.026;1;5.640076125;CYP1A1
2;0;0;3.2;1;5.97494775;CYP1A1
2;0;0;0.65;1;6.79888225;CYP1A1
2;0;0;0.13;1;7.5276065;CYP1A1
2;0;0;0.026;1;6.66623;CYP1A1
2;0;0;0.0052;1;5.167876;CYP1A1
3;0;1;3.2;0;5.7744475;CYP1A1
3;0;1;0.65;0;4.839344625;CYP1A1
3;0;1;0.13;0;4.176695625;CYP1A1
3;0;1;0.026;0;3.742109;CYP1A1
3;0;0;3.2;0;5.6350615;CYP1A1
3;0;0;0.65;0;5.24819325;CYP1A1
3;0;0;0.13;0;4.75089475;CYP1A1
3;0;0;0.026;0;4.65293525;CYP1A1
3;0;0;0.0052;0;4.07392375;CYP1A1
1;1;1;3.25;1;10.152222;CYP1A1
1;1;1;0.65;1;9.618642125;CYP1A1
1;1;1;0.13;1;6.89775125;CYP1A1
1;1;0;3.25;1;10.39571625;CYP1A1
1;1;0;0.65;1;10.07997375;CYP1A1
1;1;0;0.13;1;7.23490225;CYP1A1
3;0;1;3.2;1;8.71686575;CYP1A1
3;0;1;0.65;1;10.4760785;CYP1A1
3;0;1;0.13;1;7.73642225;CYP1A1
3;0;1;0.026;1;8.76793875;CYP1A1
3;0;1;0.0052;1;9.40787225;CYP1A1
3;0;0;3.2;1;10.4126775;CYP1A1
3;0;0;0.65;1;10.79000125;CYP1A1
3;0;0;0.13;1;11.11251775;CYP1A1
3;0;0;0.026;1;9.8908885;CYP1A1
3;0;0;0.0052;1;8.466695625;CYP1A1
4;0;1;3.2;0;10.95296325;CYP1A1
4;0;1;0.65;0;9.620306;CYP1A1
4;0;1;0.13;0;9.62527325;CYP1A1
4;0;1;0.026;0;8.43509725;CYP1A1
4;0;1;0.0052;0;7.650556625;CYP1A1
4;0;0;3.2;0;11.85303825;CYP1A1
4;0;0;0.65;0;10.39697275;CYP1A1
4;0;0;0.13;0;9.902542;CYP1A1
4;0;0;0.026;0;8.522139;CYP1A1
4;0;0;0.0052;0;7.090269;CYP1A1
2;1;1;3.25;0;10.091402;CYP1A1
2;1;1;1.3;0;9.419884;CYP1A1
2;1;1;0.65;0;9.172017875;CYP1A1
2;1;1;0.325;0;7.403834;CYP1A1
2;1;0;3.25;0;10.37370375;CYP1A1
2;1;0;1.3;0;9.73179625;CYP1A1
2;1;0;0.65;0;9.26286225;CYP1A1
2;1;0;0.325;0;7.7275535;CYP1A1
4;0;1;3.2;1;8.34841825;CYP1A1
4;0;1;0.65;1;10.16556675;CYP1A1
4;0;1;0.13;1;9.495137875;CYP1A1
4;0;1;0.026;1;8.3315445;CYP1A1
4;0;0;3.2;1;8.62934325;CYP1A1
4;0;0;0.65;1;10.30475075;CYP1A1
4;0;0;0.13;1;10.37357475;CYP1A1
4;0;0;0.026;1;8.183841;CYP1A1
4;0;0;0.0052;1;7.41558525;CYP1A1
2;1;1;3.25;1;6.9528555;CYP1A1
2;1;1;1.3;1;7.295304;CYP1A1
2;1;1;0.65;1;7.947671875;CYP1A1
2;1;1;0.325;1;7.008575;CYP1A1
2;1;1;0.13;1;5.1304025;CYP1A1
2;1;0;3.25;1;7.3055755;CYP1A1
2;1;0;1.3;1;7.10887975;CYP1A1
2;1;0;0.65;1;8.63514025;CYP1A1
2;1;0;0.325;1;7.9039065;CYP1A1
2;1;0;0.13;1;4.97642425;CYP1A1
3;1;1;3.25;0;9.93093375;CYP1A1
3;1;1;1.3;0;9.27573775;CYP1A1
3;1;1;0.65;0;8.74059325;CYP1A1
3;1;1;0.325;0;7.66975625;CYP1A1
3;1;1;0.13;0;6.677786;CYP1A1
3;1;0;3.25;0;10.15205675;CYP1A1
3;1;0;1.3;0;8.695051;CYP1A1
3;1;0;0.65;0;8.966322375;CYP1A1
3;1;0;0.325;0;7.135224;CYP1A1
3;1;0;0.13;0;6.58591175;CYP1A1
5;0;1;3.2;0;9.60486075;CYP1A1
5;0;1;0.65;0;10.0183705;CYP1A1
5;0;1;0.13;0;9.7161425;CYP1A1
5;0;1;0.026;0;7.8959815;CYP1A1
5;0;1;0.0052;0;6.8845705;CYP1A1
5;0;0;3.2;0;10.0605;CYP1A1
5;0;0;0.65;0;9.845336;CYP1A1
5;0;0;0.13;0;9.61881325;CYP1A1
5;0;0;0.026;0;7.3115985;CYP1A1
5;0;0;0.0052;0;6.76785625;CYP1A1
3;1;1;3.25;1;8.250771125;CYP1A1
3;1;1;1.3;1;10.00806075;CYP1A1
3;1;1;0.65;1;9.16381175;CYP1A1
3;1;1;0.325;1;8.822193;CYP1A1
3;1;1;0.13;1;6.8910135;CYP1A1
3;1;0;3.25;1;8.8540655;CYP1A1
3;1;0;1.3;1;9.244536;CYP1A1
3;1;0;0.65;1;9.539952;CYP1A1
3;1;0;0.325;1;8.20643075;CYP1A1
3;1;0;0.13;1;7.1972995;CYP1A1
5;0;1;3.2;1;10.71069725;CYP1A1
5;0;1;0.65;1;9.80105975;CYP1A1
5;0;1;0.13;1;10.54310275;CYP1A1
5;0;1;0.026;1;8.2696575;CYP1A1
5;0;1;0.0052;1;5.9485385;CYP1A1
5;0;0;3.2;1;11.02643025;CYP1A1
5;0;0;0.13;1;10.82226575;CYP1A1
5;0;0;0.026;1;8.5589915;CYP1A1
5;0;0;0.0052;1;6.485904625;CYP1A1
4;1;1;3.25;0;10.0835285;CYP1A1
4;1;1;1.3;0;8.37022725;CYP1A1
4;1;1;0.65;0;7.7655735;CYP1A1
4;1;1;0.325;0;6.402506;CYP1A1
4;1;0;3.25;0;10.5603815;CYP1A1
4;1;0;1.3;0;8.2924185;CYP1A1
4;1;0;0.65;0;6.92039125;CYP1A1
4;1;0;0.325;0;5.442655;CYP1A1
4;1;1;3.25;1;9.20473425;CYP1A1
4;1;1;1.3;1;9.46493725;CYP1A1
4;1;1;0.65;1;7.838161375;CYP1A1
4;1;1;0.325;1;7.664885;CYP1A1
4;1;0;3.25;1;8.6468245;CYP1A1
4;1;0;1.3;1;9.9087595;CYP1A1
4;1;0;0.65;1;9.41802225;CYP1A1
4;1;0;0.325;1;8.35174125;CYP1A1
4;1;0;0.13;1;6.69457;CYP1A1
5;1;1;3.25;0;8.22146075;CYP1A1
5;1;1;1.3;0;8.21812025;CYP1A1
5;1;1;0.65;0;7.21111775;CYP1A1
5;1;0;3.25;0;8.6428015;CYP1A1
5;1;0;1.3;0;8.36205225;CYP1A1
5;1;0;0.65;0;8.2074365;CYP1A1
5;1;0;0.325;0;7.06251575;CYP1A1
5;1;1;3.25;1;10.8625705;CYP1A1
5;1;1;1.3;1;10.47823925;CYP1A1
5;1;1;0.65;1;8.132015625;CYP1A1
5;1;1;0.325;1;7.37906475;CYP1A1
5;1;0;3.25;1;11.73121575;CYP1A1
5;1;0;1.3;1;9.722775;CYP1A1
5;1;0;0.65;1;8.762284;CYP1A1
5;1;0;0.325;1;7.291115;CYP1A1
1;0;1;3.2;0;6.1445735;CYP1A2
1;0;1;0.65;0;6.0718845;CYP1A2
1;0;1;0.13;0;6.290911875;CYP1A2
1;0;1;0.026;0;6.10361425;CYP1A2
1;0;0;3.2;0;6.607418125;CYP1A2
1;0;0;0.65;0;5.74610775;CYP1A2
1;0;0;0.13;0;5.865104;CYP1A2
1;0;0;0.026;0;6.23172725;CYP1A2
1;0;0;0.0052;0;6.515839;CYP1A2
2;0;1;3.2;0;6.949551;CYP1A2
2;0;1;0.65;0;7.04969725;CYP1A2
2;0;1;0.13;0;7.14520575;CYP1A2
2;0;0;3.2;0;7.481081;CYP1A2
2;0;0;0.65;0;7.529233;CYP1A2
2;0;0;0.13;0;8.2784605;CYP1A2
2;0;0;0.026;0;8.049422;CYP1A2
2;0;0;0.0052;0;6.76899475;CYP1A2
1;1;1;3.25;0;10.8276025;CYP1A2
1;1;1;0.65;0;7.36343975;CYP1A2
1;1;0;3.25;0;10.35841275;CYP1A2
1;1;0;0.65;0;6.60371225;CYP1A2
1;0;1;3.2;1;8.929459;CYP1A2
1;0;1;0.65;1;8.58078625;CYP1A2
1;0;1;0.13;1;7.100928875;CYP1A2
1;0;1;0.026;1;6.97267975;CYP1A2
1;0;0;3.2;1;10.61290125;CYP1A2
1;0;0;0.65;1;8.93564375;CYP1A2
1;0;0;0.13;1;7.41427125;CYP1A2
1;0;0;0.026;1;6.56707125;CYP1A2
2;0;1;3.2;1;6.75038375;CYP1A2
2;0;1;0.65;1;6.69735425;CYP1A2
2;0;1;0.13;1;6.252698;CYP1A2
